tract_fips,location_name,county_name,no_insurance_pct,high_bp_prevalence,heart_disease_prevalence,annual_checkup_pct,smoking_prevalence,diabetes_prevalence,obesity_prevalence,stroke_prevalence,CensusTract,State,County,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,lapophalf,lapop1,lapop10,lalowihalf,lalowi1,lalowi10,health_risk_score,health_risk_category,is_food_desert,combined_risk
06097152502,6097152502,Sonoma,6.8,33.6,7.7,74.0,11.9,11.8,29.4,3.9,6097152502.0,California,Sonoma County,1.0,0.0,0.0,0.0,2744.81081829593,108.127388000488,,700.507251605392,34.1076674461365,,17.86,High Risk,False,High Risk: Disease Only
06097152601,6097152601,Sonoma,3.7,31.4,6.2,74.6,9.1,9.6,25.6,2.9,,,,1.0,0.0,,,,,,,,,15.300000000000002,High Risk,False,High Risk: Disease Only
06097152602,6097152602,Sonoma,3.9,35.1,8.0,77.4,8.4,11.2,26.8,3.6,,,,1.0,0.0,,,,,,,,,17.0,High Risk,False,High Risk: Disease Only
06097152701,6097152701,Sonoma,7.5,31.4,7.4,73.0,11.8,11.4,29.1,3.7,6097152701.0,California,Sonoma County,0.0,0.0,0.0,0.0,4883.12885877537,2199.62647162098,,1334.46287786687,621.695172222564,,17.360000000000003,High Risk,False,High Risk: Disease Only
06097152702,6097152702,Sonoma,8.0,28.0,6.0,70.7,11.5,10.1,28.9,3.1,6097152702.0,California,Sonoma County,1.0,0.0,0.0,0.0,2704.65576583227,1300.79022347774,,818.78110284813,459.501805667423,,16.2,High Risk,False,High Risk: Disease Only
06097152801,6097152801,Sonoma,7.9,29.5,6.2,70.4,14.0,11.1,31.1,3.3,6097152801.0,California,Sonoma County,1.0,0.0,0.0,0.0,2955.28096415102,194.604256927967,,798.871755691245,60.8258993029594,,17.160000000000004,High Risk,False,High Risk: Disease Only
06097152803,6097152803,Sonoma,15.7,26.8,5.7,67.4,14.2,10.9,32.0,3.2,,,,1.0,0.0,,,,,,,,,18.220000000000002,High Risk,False,High Risk: Disease Only
06097152804,6097152804,Sonoma,14.6,29.1,6.5,67.3,17.0,11.9,33.4,3.8,,,,1.0,0.0,,,,,,,,,19.1,High Risk,False,High Risk: Disease Only
06097152903,6097152903,Sonoma,13.9,27.0,5.4,68.3,13.3,11.4,31.1,3.1,6097152903.0,California,Sonoma County,1.0,0.0,0.0,0.0,,,,,,,17.76,High Risk,False,High Risk: Disease Only
06097152904,6097152904,Sonoma,7.6,26.9,5.2,70.3,10.8,9.1,27.9,2.7,6097152904.0,California,Sonoma County,1.0,0.0,0.0,0.0,1695.63154795766,,,203.419049978256,,,15.339999999999998,High Risk,False,High Risk: Disease Only
06097152905,6097152905,Sonoma,7.8,29.2,5.8,71.2,11.0,10.2,28.5,2.9,6097152905.0,California,Sonoma County,1.0,0.0,0.0,0.0,1739.605224967,24.9240217208862,,500.734307564795,8.19746971130371,,16.3,High Risk,False,High Risk: Disease Only
06097152906,6097152906,Sonoma,7.0,28.4,5.9,70.5,12.0,10.0,28.8,3.0,6097152906.0,California,Sonoma County,0.0,0.0,0.0,0.0,4993.54180987692,3029.25748818845,,735.14095040402,446.883897087275,,16.02,High Risk,False,High Risk: Disease Only
